navn;1;$ndays > 0;$ndays > 3;$stay == 'flat';$stay == 'dyne';$stay == 'madrass';$stay == 'madrass' && $ndays > 3;$stay == 'madrass' && $ndays <= 3;$totalruns>0;$nraces>0;$ntrainings>0;$mintemp<10;$mintemp<0;$maxtemp>15;$maxtemp<15
Toalettmappe;;1;;;;;;;;;;;;;
Tannbørste;;1;;;;;;;;;;;;;
Tannkrem;;1;;;;;;;;;;;;;
Deo;;1;;;;;;;;;;;;;
Parfyme;1;;;;;;;;;;;;;;
Hårvoks;1;;;;;;;;;;;;;;
Solkrem;;;;;;;;;;;;;;1;
Myggolje;;1;;;;;;;;;;;;;
Neglklipper;;1;;;;;;;;;;;;;
Smertestillende;1;;;;;;;;;;;;;;
Gnagsårplaster;1;;;;;;;;;;;;;;
Shampo;1;;;;;;;;;;;;;;
Solbriller;1;;;;;;;;;;;;;;
Hodetelefoner;1;;;;;;;;;;;;;;
Pute;;;;1;;1;;;;;;;;;
Lader til GPS-klokke;;;;;;;;;1;;;;;;
O-sko;;;;;;;;;;clamp(3*$nraces/5,0,3);;;;;
Treningssko;;;;;;;;;;;clamp(3*$ntrainings/5,1,4);;;;
Vann;1;;;;;;;;;;;;;;
Pengbok;1;;;;;;;;;;;;;;
Mobil (oppladet);1;;;;;;;;;;;;;;
Lader til mobil;;1;;;;;;;;;;;;;
Liggeunderlag/luftmadrass;;;;1;;;;;;;;;;;
Laken;;;;;1;;1;;;;;;;;
Dyne;;;;;;;1;;;;;;;;
Pulsbelte;;;;;;;;;1;;;;;;
Støvler;1;;;;;;;;;;;;;;
EKT-brikke;;;;;;;;;;1;;;;;
EmiTag;;;;;;;;;;1;;;;;
Kompass;;;;;;;;;2;;;;;;
SI-brikke;;;;;;;;;;1;;;;;
Postbeskrivelsesholder;;;;;;;;;;1;;;;;
Sovepose;;;;1;;;;1;;;;;;;
Dunjakke;;;;;;;;;;;;;1;;
Lue;;;;;;;;;;;;1;;;
Votter;;;;;;;;;;;;1;;;
Ullgenser;;;;;;;;;;;;1;;;
Håndkle;clamp($ndays/2,1,2);;;;;;;;;;;;;;
Sikkerhetsnåler;;;;;;;;;1;;;;;;
Mat;1;;;;;;;;;;;;;;
Liten hodelykt;;;;1;;;;;;;;;;;
Pass;1;;;;;;;;;;;;;;
Ministol;1;;;;;;;;;;;;;;
Hodelykt;;;;;;;;;;;;;;;
Batteri til hodelykt;;;;;;;;;;;;;;;
Bærevest til hodelyktbatteri;;;;;;;;;;;;;;;
Lader til hodelyktbatteri;;;;;;;;;;;;;;;
Buff;;;;;;;;;2;;;;;;
Sengetøy;;;;;1;;1;;;;;;;;
Regnjakke;;;;;;;;;;;;;;;1
Kjølebag/Matbag;;1;;;;;;;;;;;;;
Løpsskjorte;;;;;;;;;;clamp(3*$nraces/5,0,3);;;;;
Løpsbukse;;;;;;;;;;clamp(3*$nraces/5,0,3);;;;;
Løpssokker;;;;;;;;;;clamp($nraces,0,5);;;;;
Treningstrøye;;;;;;;;;;;clamp(3*$ntrainings/5,0,4);;;;
Treningsunderdel;;;;;;;;;;;clamp(3*$ntrainings/5,0,4);;;;
Overtrekksbukse;;;;;;;;;1;;;;;;
Overtrekksjakke;;;;;;;;;1;;;;;;
Sportstape;;;;;;;;;1;;;;;;
Boxere;clamp($ndays+$totalruns,1,14);;;;;;;;;;;;;;
Tykke sokker;clamp(($ndays+$totalruns)*(1-$sokkfaktor),0,14);;;;;;;;;;;;;;
Tynne sokker;clamp(($ndays+$totalruns)*$sokkfaktor,0,14);;;;;;;;;;;;;;
T-skjorter/skjorter;clamp($ndays/2,1,4);;;;;;;;;;;;;;
Gensere;clamp($ndays/3,1,4);;;;;;;;;;;;;;
Bukser;clamp($ndays/3,1,4);;;;;;;;;;;;;;
Shorts;;;;;;;;;;;;;;clamp($ndays/3,1,3);
Slippers;;1;;;;;;;;;;;;;
Longs;;;;;;;;;;;;;clamp($ndays/4,1,2);;
Supertrøye;;;;;;;;;;;;clamp($ndays,0,3);;;
Sovemaske;1;;;;;;;;;;;;;;
Sov-i-ro;1;;;;;;;;;;;;;;
Tråd/Tau;;1;;;;;;;;;;;;;
Gaffateip;1;;;;;;;;;;;;;;
Minihøyttaler;1;;;;;;;;;;;;;;
PC;;1;;;;;;;;;;;;;
Lader til PC;;1;;;;;;;;;;;;;
Våtsokker;;;;;;;;;;;;;1;;
Tøfler;;1;;;;;;;;;;;;;
Plastmapper;2;;;;;;;;;;;;;;
Chillebukse;;1;;;;;;;;;;;;;
Drikkebelte;;;1;;;;;;;;1;;;;
Barbermaskin;;;1;;;;;;;;;;;;
Buksebelte;1;;;;;;;;;;;;;;
Kamera;1;;;;;;;;;;;;;;
Lader til kamera;;1;;;;;;;;;;;;;
Minnekort til kamera;1;;;;;;;;;;;;;;
Kamerastativ;1;;;;;;;;;;;;;;
Løpesekk;;;;;;;;;;;1;;;;
Powerbank;1;;;;;;;;;;;;;;
Nakkepute;;1;;;;;;;;;;;;;
Poser;$ndays;;;;;;;;;;;;;;
